date,KOSPI_rebased,EEM_rebased,foreign_netbuy,kospi_ret,eem_ret,korea_alpha,dxy_chg,fed_net_liquidity
2025-11-10,130.57725996260655,115.1659623653003,-1510.0,0.03021933050403658,0.017598481487135276,0.012620849016901303,0.00020084611212256576,5624601.0
2025-11-11,131.63996564792504,115.29044735274329,770.0,0.00813852033365392,0.0010809182234601256,0.007057602110193795,-0.0016061399086327866,5624601.0
2025-11-12,133.05048883146674,115.31119350576822,-4265.0,0.010715007228991213,0.00017994685163702506,0.010535060377354188,0.00020112882209000205,5620760.0
2025-11-13,133.69932135633562,113.96265321268018,9989.0,0.00487658880901054,-0.011694790870589444,0.016571379679599985,-0.0030157121193633563,5622885.0
2025-11-14,128.60028599597263,114.02489167175504,-23575.0,-0.038138079600067876,0.0005461303095382064,-0.03868420990960608,0.0009074040896723812,5625087.0
2025-11-17,131.09049837040524,112.676351378667,5189.0,0.019363972289381914,-0.011826718476261266,0.03119069076564318,0.0032235288168167564,5623474.0
2025-11-18,126.74256441385812,112.11617296982028,-5500.0,-0.03316742258666017,-0.004971570360528865,-0.0281958522261313,-0.00040157935137519196,5625741.0
2025-11-19,125.96965838030734,111.72197992375968,-10495.0,-0.006098235719982692,-0.00351593383558213,-0.002582301884400562,0.0068307411786039385,5612228.0
2025-11-20,128.38486157621176,110.18671618415384,7406.0,0.019172896290730934,-0.013741823593294011,0.032914719884024946,-0.000698390626357015,5606837.0
2025-11-21,123.52528581791977,110.16597003112892,-28229.0,-0.03785162595207736,-0.0001882817978736684,-0.03766334415420369,0.0001996469881717644,5610854.0
2025-11-24,123.29447449864026,111.3277949469924,-7993.0,-0.0018685349946869767,0.010546132490234505,-0.012414667484921482,-0.0003992904312786205,5612280.0
2025-11-25,123.6701856438036,111.72197992375968,49.0,0.0030472666896965706,0.003540759762240775,-0.0004934930725442044,-0.004793246759183467,5611043.0
2025-11-26,126.9749801656917,112.5311202381991,5158.0,0.026722645435389047,0.007242445174991952,0.019480200260397096,-0.000602098994414324,5646808.0
2025-11-27,127.80974685732753,,1546.0,0.0065742612485271135,,,,5646808.0
2025-11-28,125.87605343715238,112.6970894623987,-20369.0,-0.015129467569744093,,,,5641464.0
2025-12-01,125.67665768993174,112.61410485029889,2235.0,-0.0015840641788168464,-0.0007363509785004441,-0.0008477132003164023,-0.0005026686388848178,5645785.0
2025-12-02,128.0668473909931,112.65559715634876,12147.0,0.01901856514165412,0.00036844679540837255,0.018650118346245748,-0.0005029981884697721,5643405.0
2025-12-03,129.3930635136932,112.73858983774186,2816.0,0.010355655266902408,0.0007366938127175704,0.009618961454184838,-0.005132871709919606,5596100.0
2025-12-04,129.14333554327612,112.71784368471688,-6960.0,-0.0019299950371037822,-0.0001840199798028852,-0.001745975057300897,0.0014162811513354079,5596381.0
2025-12-05,131.43671143607435,113.56846016661964,9934.0,0.017758375863148768,0.00754642259021554,0.010211953272933227,0.0,5597129.0
